,0
0,29660303
1,26782962
2,5932870
3,14027797
4,32388363
5,11554679
6,20851268
7,20977662
8,3561669
9,29220748
10,6135864
11,8603481
12,11127690
13,4845439
14,29962682
15,21578060
16,2434174
17,19933711
18,9410749
19,29890229
20,10302381
21,28850468
22,11765560
23,2149329
24,35771252
25,30713187
26,17825249
27,11500465
28,7043232
29,23120291
30,23538528
31,20302677
32,12272898
33,21234727
34,11655192
35,24624224
36,10895202
37,31131756
38,32636577
39,37037828
40,5506744
41,10212082
42,8433034
43,21186769
44,2146014
45,30942653
46,9523437
47,34853584
48,3836907
49,18767312
50,9503692
51,7199988
52,16988189
53,16401960
54,25553572
55,14777988
56,334509
57,13972446
58,33259602
59,12611185
60,37197357
61,33716120
62,4692949
63,351307
64,35180513
65,3496416
66,4728088
67,33771506
68,34812877
69,8714523
70,32869668
71,17914494
72,22315972
73,23320562
74,27491538
75,930167
76,29657048
77,37214976
78,16189737
79,36580822
80,15384881
81,12491448
82,23585606
83,23185050
84,25621386
85,12988191
86,14782558
87,29415756
88,14513301
89,18232041
90,6787276
91,6177077
92,34112810
93,37395890
94,29085537
95,8198550
96,14097583
97,14820387
98,29490540
99,35579354
100,24287362
101,2270892
102,21357317
103,20794042
104,37004333
105,10654646
106,3779231
107,32987835
108,22598579
109,8783385
110,32999003
111,5030149
112,13274416
113,5233209
114,16465287
115,24832323
116,32435523
117,33128383
118,28720438
119,27192242
120,30586097
121,10155784
122,36663153
123,35884166
124,859064
125,26676083
126,29241501
127,9106188
128,36829403
129,14314386
130,20875024
131,9867432
132,25371393
133,34668215
134,23616552
135,11742849
136,2383964
137,2004619
138,23363392
139,35157371
140,16234151
141,31597707
142,16551470
143,37342362
144,8306064
145,28176480
146,16017310
147,33564876
148,28364835
149,11788338
150,14403984
151,14249534
152,14211981
153,17954135
154,21650897
155,1542753
156,21224584
157,7572136
158,33929643
159,10974889
160,720347
161,23198011
162,15325654
163,9180443
164,23110615
165,17435885
166,9421660
167,29170443
168,32939321
169,24794758
170,18798773
171,16452778
172,7983000
173,6878852
174,32401730
175,15472564
176,1511861
177,16078921
178,14772528
179,6904488
180,17539212
181,16819132
182,6020752
183,8265023
184,22562509
185,23199106
186,4362622
187,28778627
188,37381443
189,12287689
190,6330770
191,10101568
192,22827093
193,5273538
194,23646990
195,37615516
196,25825235
197,19299410
198,18936373
199,9989983
200,16331070
201,11334994
202,18857758
203,33865202
204,10553653
205,28134704
206,34089386
207,9590102
208,5328947
209,10227902
210,5164761
211,20036903
212,13675368
213,30800380
214,21287889
215,4026879
216,420237
217,17127653
218,4430938
219,35330628
220,9480637
221,12688783
222,2822715
223,8741946
224,35968176
225,11488277
226,21367304
227,1067801
228,33132730
229,12239314
230,17561190
231,14383913
232,7867588
233,5916164
234,5906121
235,11140952
236,23472488
237,12581859
238,9541067
239,22377236
240,8060796
241,18290298
242,9940620
243,21310380
244,37034261
245,20911690
246,24596446
247,35868322
248,8232356
249,32118149
250,25143755
251,33779616
252,7508683
253,18882231
254,9486116
255,2216939
256,29164324
257,12227087
258,36335665
259,23828362
260,17578305
261,1340199
262,28021757
263,9851623
264,12489515
265,4377571
266,19284648
267,32849474
268,7736104
269,15186067
270,15248901
271,24325835
272,31137756
273,32085448
274,945905
275,35860124
276,5169760
277,31184291
278,34305560
279,3333953
280,28557570
281,14686006
282,984205
283,14110814
284,1908532
285,21504641
286,9835380
287,1005497
288,22784590
289,28950818
290,34869788
291,12647099
292,7692793
293,20946351
294,15904069
295,14803041
296,32234806
297,5206671
298,26270398
299,7836559
300,28547011
301,32283289
302,21027870
303,18664656
304,21638534
305,19125898
306,1644873
307,2448387
308,22373651
309,6446681
310,12352684
311,24105550
312,4134839
313,36570856
314,20461504
315,4735392
316,17035106
317,36199066
318,29917604
319,23329062
320,23873024
321,33075488
322,37032174
323,2155338
324,36434099
325,25803958
326,16962412
327,24996170
328,16703000
329,20151410
330,24665459
331,29614352
332,24161079
333,34740166
334,1679563
335,11651089
336,30841880
337,26199093
338,11504216
339,21764775
340,13407302
341,14167235
342,12051601
343,29971150
344,9578175
345,26811053
346,8257989
347,31655131
348,26798974
349,9553597
350,27017165
351,20890383
352,27516268
353,23944115
354,9671548
355,35061729
356,36823323
357,5109182
358,29859575
359,13317421
360,14549875
361,6084234
362,10350350
363,28600368
364,17253759
365,11263948
366,4031957
367,31391889
368,18061259
369,22326013
370,33034652
371,16381102
372,10425305
373,7168544
374,10973370
375,18274745
376,8462097
377,18719649
378,29598169
379,6613425
380,5265764
381,5810981
382,25033836
383,33440966
384,26647526
385,28070088
386,2069195
387,9404409
388,10859583
389,1016546
390,21945295
391,29846445
392,14112656
393,9037789
394,34162255
395,30168554
396,36962787
397,30044511
398,2837072
399,21180415
400,31301985
401,6693720
402,25804152
403,29197912
404,19274079
405,7555570
406,7533452
407,8146198
408,4508271
409,33119650
410,12077317
411,19422984
412,809081
413,25379756
414,13449912
415,27630674
416,13917462
417,35500206
418,14284917
419,2613375
420,29636636
421,32252385
422,122704
423,36199296
424,33520475
425,6697927
426,30438836
427,6527779
428,28725554
429,33471109
430,18118408
431,13891139
432,15244537
433,28725022
434,33069350
435,33356499
436,8858834
437,18935418
438,30437830
439,25398282
440,35821105
441,29971115
442,15337566
443,32977202
444,499198
445,19909609
446,6370698
447,459319
448,16650101
449,15849924
450,14134483
451,18094094
452,33446962
453,8223686
454,4449415
455,32193639
456,22586778
457,7073677
458,22761817
459,23486643
460,6377055
461,17328769
462,20137713
463,13466014
464,10809489
465,31325884
466,31922340
467,32683288
468,9412811
469,3803861
470,8261374
471,32530585
472,5251143
473,31017415
474,2514827
475,33449803
476,7478413
477,28782889
478,25384420
479,22772224
480,22731931
481,24254657
482,2652709
483,19033006
484,21338732
485,30797319
486,6631476
487,6307386
488,11240877
489,7224942
490,11294477
491,25694543
492,34285083
493,21110576
494,1919476
495,29971120
496,34994123
497,28078905
498,31887466
499,4270295
500,22718917
501,17877840
502,31408536
503,4960605
504,6838049
505,31039596
506,24621282
507,127758
508,8148647
509,4347658
510,21355259
511,2852874
