,0
0,34601264
1,3597327
2,13864487
3,18260769
4,33099943
5,4538282
6,5714961
7,32924697
8,12865485
9,15944373
10,16807673
11,20717422
12,28520658
13,26560475
14,5494804
15,13588279
16,1290713
17,3733126
18,23049585
19,10665136
20,10455439
21,16164089
22,25912325
23,22241199
24,32632710
25,27248718
26,35899412
27,26366793
28,15717576
29,11285832
30,3390842
31,7246417
32,12517330
33,30090836
34,14501976
35,14637221
36,9355321
37,35835790
38,31427884
39,7416912
40,35797422
41,6652335
42,33496739
43,17047579
44,6604770
45,13753612
46,2817652
47,21574404
48,14393562
49,6844785
50,18530538
51,16387380
52,28947982
53,29885504
54,26942986
55,10137509
56,17971498
57,35394667
58,36434672
59,25571710
60,14994159
61,30074189
62,22268477
63,10150782
64,5029329
65,30846936
66,21772981
67,19785840
68,25635786
69,23124089
70,15424873
71,34117799
72,26126486
73,5710648
74,37664786
75,14381446
76,17261272
77,19932462
78,3288726
79,14454019
80,25525598
81,2706934
82,6093810
83,21481850
84,15960204
85,36333903
86,1813689
87,6979055
88,15181746
89,23240865
90,17708149
91,36417985
92,34378576
93,18215506
94,1987698
95,34538227
96,20418129
97,32476037
98,12542634
99,29571035
100,5320585
101,3868318
102,22953713
103,33662456
104,12547530
105,18360460
106,27812442
107,24109791
108,7130725
109,8103254
110,31905610
111,32843303
112,5059071
113,1127813
114,19301741
115,4123866
116,13150910
117,16292320
118,9428515
119,19447013
120,15553708
121,9562342
122,17078904
123,31492868
124,22971796
125,14829953
126,6371618
127,30478893
128,34170084
129,23536901
130,2244889
131,25872411
132,15947104
133,5400274
134,37096463
135,27564356
136,14885864
137,24591143
138,21256708
139,26953497
140,10460260
141,16760870
142,32945224
143,18837287
144,9075303
145,22347366
146,13244839
147,17878777
148,10198346
149,7515221
150,35339791
151,36631708
152,36085751
153,29509513
154,23114411
155,7900913
156,33915698
157,25213539
158,6518106
159,33002420
160,37179503
161,29557853
162,17573132
163,25156040
164,33002573
165,31269209
166,12152955
167,14755720
168,772279
169,25855869
170,36357424
171,348179
172,9674430
173,21238337
174,34311021
175,28697908
176,21340176
177,19399905
178,19862075
179,27339671
180,84009
181,9005600
182,12170446
183,6672324
184,37261094
185,7754231
186,37260766
187,30780814
188,28672299
189,34047332
190,4922449
191,113539
192,22458333
193,9032186
194,34796768
195,10057901
196,33425473
197,11681140
198,21709346
199,25489737
200,17971353
201,19330612
202,28621882
203,22863895
204,15184927
205,31993422
206,6161659
207,25473928
208,35936852
209,22341583
210,20994882
211,25007972
212,29716351
213,17988191
214,16756496
215,30590648
216,20889806
217,18436068
218,3354801
219,4497788
220,17029093
221,4369576
222,19778300
223,18218349
224,35296256
225,1648275
226,16054281
227,464638
228,31614575
229,11769087
230,23507670
231,34524379
232,10358849
233,17640008
234,17438972
235,33780273
236,19531934
237,31005375
238,9277869
239,26158159
240,25200433
241,31772192
242,4826506
243,35054747
244,20586545
245,29615597
246,7591554
247,19572239
248,31995447
249,5258937
250,29256161
251,16703629
252,7589534
253,2107121
254,5384170
255,32494210
256,21079465
257,12191549
258,23732103
259,13369466
260,16640855
261,37654426
262,31045332
263,9105642
264,30220896
265,29769470
266,15799968
267,18959332
268,32607918
269,34288988
270,20792037
271,33646223
272,7626018
273,29338101
274,36161
275,10455518
276,32811142
277,28891793
278,19515554
279,2753106
280,2326114
281,27046439
282,17388922
283,18911010
284,3654485
285,31147404
286,17116939
287,14397935
288,5843542
289,27835710
290,32317356
291,21944068
292,11494772
293,1194268
294,36083653
295,6461646
296,5198638
297,32639603
298,185179
299,10995271
300,26506655
301,24788895
302,37581248
303,4276405
304,5093936
305,14350638
306,3935889
307,24461015
308,23147377
309,17200431
310,10274850
311,25390232
312,12336050
313,16815913
314,29044933
315,10320929
316,26561726
317,30728969
318,35239640
319,5051141
320,25747813
321,19498055
322,1428088
323,17909355
324,12268989
325,29087762
326,16668052
327,4178445
328,15654908
329,14551301
330,2088277
331,28098894
332,15604341
333,4162035
334,20733610
335,21665058
336,27003185
337,20067311
338,19891329
339,25600356
340,27310558
341,24911605
342,5378584
343,27178247
344,37458551
345,911207
346,15801143
347,25016444
348,26563106
349,21197873
350,11204088
351,19932218
352,25611196
353,23059450
354,34235029
355,20966823
356,9204942
357,34206858
358,3059180
359,37473152
360,26850207
361,34545313
362,2734276
363,31123408
364,21296323
365,28002849
366,788327
367,18401849
368,35469184
369,2978026
370,10915005
371,26871307
372,33250367
373,5826232
374,24718420
375,14263949
376,1618195
377,23800320
378,2338948
379,16945317
380,29155957
381,12597776
382,22977574
383,1275733
384,18091408
385,482797
386,21574266
387,26688628
388,127135
389,20660912
390,28955331
391,27326698
392,12933657
393,34849205
394,25846888
395,6872380
396,16066645
397,13245437
398,294500
399,26609005
400,2847547
401,14998786
402,23230256
403,31458184
404,33031810
405,287171
406,12246027
407,8637426
408,33628555
409,32638788
410,25076130
411,3877365
412,551654
413,11756805
414,5426750
415,37300943
416,19780057
417,31473536
418,21170251
419,22673221
420,15181230
421,26432108
422,4556466
423,14460917
424,30246563
425,18953163
426,35145914
427,7538383
428,21173411
429,19186797
430,35918578
431,37084526
432,33623826
433,26027534
434,19677461
435,21207448
436,6817553
437,32464545
438,36150661
439,18191639
440,5767864
441,29212375
442,12181912
443,29646516
444,15141267
445,2799769
446,11236878
447,7367060
448,33346512
449,3543747
450,32839101
451,31754197
452,26104139
453,8137460
454,1238617
455,1897746
456,24460043
457,6587392
458,3562052
459,19024379
460,11228099
461,12753949
462,23011724
463,2775778
464,29849055
465,35792385
466,17081196
467,14627188
468,33027768
469,22179363
470,17120689
471,1299042
472,16040015
473,34268925
474,1821586
475,28355106
476,18171427
477,24247219
478,30810192
479,32745993
480,36308838
481,5602270
482,31400687
483,22476668
484,6094960
485,7564348
486,27198222
487,32794228
488,31391778
489,2727754
490,35763936
491,27038802
492,26556683
493,26634706
494,7975012
495,20536175
496,24465992
497,1942725
498,7584969
499,34122965
500,13637829
501,6911627
502,28988154
503,12996257
504,18961092
505,21100026
506,9654579
507,8633134
508,23088256
509,15567375
510,2754643
511,19928773
512,23504393
513,8193265
514,12109360
515,14126102
516,29990935
517,2274900
518,30062553
519,12362082
520,15581703
521,17517811
522,17270482
523,12963540
524,21109258
525,8740475
526,27319135
527,36487594
528,7908496
529,23681965
530,35819036
531,17936415
532,19789094
533,17610947
534,13941475
535,13347519
536,29469767
537,33437515
538,16158128
539,5795135
540,15197712
541,7931885
542,36614910
543,12375426
544,8892191
545,23699277
546,19237534
547,1101254
548,17655856
549,31683061
550,16331172
551,34261998
552,7994930
553,12547569
554,12444888
555,37137112
556,26551053
557,36631299
558,34317080
559,2683797
560,16516507
561,26914024
562,11221792
563,33727436
564,22926732
565,10319895
566,1002468
567,34095730
568,19948574
569,1614340
570,18259572
571,14810957
572,4698655
573,18190728
574,14741256
575,26913415
576,11003850
577,24779197
578,15842276
579,32391389
580,1229213
581,14247412
582,29361162
583,18467937
584,11496408
585,4670877
586,21988723
587,433009
588,15495788
589,25337414
590,30452701
591,36651862
592,25662992
593,19489959
594,21445095
595,17587721
596,23594100
597,5753572
598,4600663
599,13919189
600,1678885
601,3479750
602,6113839
603,36980962
604,4819336
605,22253656
606,22460393
607,17261857
608,25751968
609,27653809
610,23360778
611,33213599
612,32963278
613,35353587
614,19903336
615,23026384
616,17952080
617,1673434
618,33999611
619,35206031
620,19242109
621,35954217
622,6121117
623,524498
624,668824
625,3189198
626,6936215
627,15524272
628,26079891
629,9030000
630,35989185
631,4024473
632,34046666
633,27221938
634,20540944
635,6881403
636,31173741
637,35876042
638,23308613
639,9604359
640,11358347
641,25822555
642,4237453
643,34974775
644,12745814
645,7465338
646,26151720
647,9604646
648,33788120
649,5084170
650,26298324
651,6497272
652,1250438
653,26755911
654,21390939
655,25200150
656,28406005
657,19484410
658,2342424
659,30378162
660,31926877
661,25262617
662,31171593
663,2973171
664,14084954
665,34377368
666,28920933
667,7818564
668,37245421
669,37231384
670,17342075
671,25332590
672,29186367
673,2581626
674,16695541
675,34710532
676,7937011
677,6243450
678,21627438
679,8117746
680,33376319
681,10002355
682,28196500
683,30184090
684,20788137
685,8536862
686,31900827
687,2653779
688,10453512
689,13907503
690,24598361
691,8360821
692,32569580
693,12605868
694,2786567
695,34177741
696,6383506
697,26911778
698,30842175
699,27120953
700,17080274
701,27492333
702,23703987
703,3639564
704,628782
705,10849571
706,10895147
707,14421516
708,33750828
709,2541373
710,33448071
711,29857021
712,28348303
713,22484476
714,19202174
715,21636719
716,21045574
717,23852960
718,19633676
719,14436432
720,29225010
721,26962399
722,37215962
723,36351234
724,11557666
725,23601550
726,31600544
727,26495418
728,11432408
729,35794480
730,12256550
731,23908180
732,28700513
733,449194
734,15526336
735,26672114
736,21065073
737,4867361
738,17243525
739,22100811
740,37394041
741,11783536
742,25384635
743,25056120
744,35056016
745,16295081
746,17765019
747,15054249
748,32590944
749,28923157
750,14905193
751,34805578
752,4942677
753,21292738
754,36737516
755,16587785
756,12289256
757,22485189
758,16703522
759,18323358
760,3184343
761,10660432
762,31996682
763,21387026
764,37446849
765,3733399
766,36482279
767,8441008
768,9761252
769,11910786
770,35603534
771,33650452
772,15440234
773,6335281
774,34078636
775,25696820
776,14124842
777,32866190
778,22117150
779,20824628
780,9055688
781,30445755
782,5165456
783,314755
784,2014134
785,2635286
786,35100876
787,15936972
788,24956714
789,37183003
790,19979022
791,8272033
792,29586291
793,14584259
794,4673718
795,4123248
796,17546628
797,30469933
798,34296630
799,2251220
800,21283903
801,32596714
802,21753219
803,31099777
804,9258751
805,8804740
806,10571671
807,10399150
808,15548403
809,22856332
810,22771197
811,7226978
812,34422147
813,5480132
814,5464323
815,13778416
816,25597634
817,6128588
818,647904
819,4617947
820,18114461
821,24790905
822,10513872
823,3321038
824,9194469
825,36253609
826,8634725
827,15728028
828,23648245
829,30329406
830,25583475
831,37579116
832,30552354
833,33790568
834,27562668
835,9968350
836,16308700
837,18978528
838,2547919
839,9556614
840,4843214
841,15661108
842,7200410
843,22186749
844,32433183
845,26480157
846,29568612
847,28995809
848,33322207
849,9020617
850,905108
851,4164473
852,30059091
853,25931767
854,26157004
855,27062726
856,6920901
857,30923156
858,11998164
859,32570248
860,22506368
861,11223164
862,21173132
863,22814428
864,21736152
865,32532417
866,22696570
867,11168210
868,36005257
869,35553381
870,30716064
871,27090693
872,6468103
873,10604092
874,34777185
875,32355850
876,13824837
877,18373883
878,32532289
879,15532840
880,14051847
881,11157297
882,34773758
883,19700217
884,18116758
885,3431040
886,9488017
887,3517306
888,22424302
889,29799210
890,9404638
891,34416481
892,18679074
893,3158995
894,15974038
895,35714796
896,29799273
897,34727115
898,21233132
899,34857283
900,9627801
901,28742694
902,21458969
903,3700788
904,12401127
905,25092845
906,33695067
907,7289091
908,22550629
909,20144373
910,5793187
911,3731081
912,6021031
913,4530837
914,15863224
915,9056553
916,28806303
917,16824318
918,11460359
919,22644361
920,3777758
921,29389773
922,14580282
923,15596136
924,14511788
925,30511099
926,14996128
927,33772266
928,4614045
929,8637470
930,789758
931,34976581
932,21043140
933,13004387
934,13273986
935,14658261
936,3113145
937,4782441
938,12442997
939,4710783
940,21457421
941,27457298
942,29736696
943,508
944,17385274
945,32565968
946,21567607
947,31823581
948,19498345
949,25042977
950,22801127
951,4694726
952,31083396
953,221208
954,34291099
955,7523757
956,20795486
957,23401357
958,26314701
959,9015039
960,2152590
961,33987290
962,7417564
963,12708883
964,13652133
965,10192807
966,15713380
967,32413722
968,2976571
969,28547279
970,17878591
971,20144098
972,14541211
973,17638403
974,36955824
975,33137548
976,4075992
977,23644275
978,18489527
979,8819380
980,17252452
981,23452356
982,3442731
983,30536918
984,29496053
985,28433898
986,16470544
987,6601162
988,2174429
989,12141773
990,34148665
991,28699626
992,24418351
993,27808982
994,35439220
995,35909368
996,20723982
997,35575923
998,7977165
999,16036213
1000,590115
1001,6615147
1002,23105156
1003,7775758
1004,33800611
1005,30452066
1006,36897210
1007,24173095
1008,33672651
1009,11309243
1010,35562293
1011,9625949
1012,14862567
1013,16433412
1014,8224543
1015,12849674
1016,36403515
1017,26517735
1018,8395265
1019,14331675
1020,27070746
1021,34137359
1022,16665883
1023,28768640
1024,29832090
1025,16275697
1026,24551559
1027,20772102
1028,35634494
1029,2389329
1030,37223473
1031,8783250
1032,12022248
1033,11795610
1034,7513354
1035,26685456
1036,36470595
1037,26305442
1038,26721218
1039,16821652
1040,5590934
1041,10579957
1042,10558554
1043,6468062
1044,10442502
1045,27912820
1046,37645517
1047,6264160
1048,13736572
